name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
US Med-Equip · Visited link,"600 Lemens Ave Suite 200, Hutto, TX 78634",usme.com,(877) 677-7767,0,5.0,32.8732755,-105.9030867
US Med-Equip · Visited link,"8964 Kirby Dr Building E, Houston, TX 77054",usme.com,(877) 677-7767,0,5.0,32.8732755,-105.9030867
US Med-Equip · Visited link,"7028 Gessner Rd, Houston, TX 77040",usme.com,(877) 677-7767,0,4.6,32.8732755,-105.9030867
Texas Medical Supply · Visited link,"151 W Brenda St, Houston, TX 77076",texasmedicalsupply.info,(713) 864-7636,0,4.0,32.8732755,-105.9030867
US Med-Equip · Visited link,"7507 68th St Suite A, Lubbock, TX 79407",usme.com,(877) 677-7767,0,0.0,33.5311599,-111.2136406
Texas Durable Med Co · Visited link,"11970 Wilcrest Dr # 105, Houston, TX 77031",,(713) 771-8362,0,0.0,29.6482176,-104.7945005
Texas Medical Inc · Visited link,"1126 S Cedar Ridge Dr # 103, Duncanville, TX 75137",texasmedicalinc.com,(972) 780-0327,0,3.9,29.6482176,-104.7945005
South Texas Medical Equipment & Supplies · Visited link,"1403 C. del Norte, Laredo, TX 78041",southtexasmedicalequipment.com,(956) 712-4354,0,4.5,29.6482176,-104.7945005
Medical Plus Supplies Austin · Visited link,"250 Texas Ave, Round Rock, TX 78665",mpshme.com,(737) 484-0417,0,2.5,29.6482176,-104.7945005
"Texas Home Medical, Inc. · Visited link","4028 Strawberry Rd, Pasadena, TX 77504",texashomemedical.com,(832) 230-8011,0,5.0,29.6482176,-104.7945005
Texas Medical Distributors inc · Visited link,"North 403, 403 US-77, Rockdale, TX 76567",gotmd.com,(512) 446-7080,0,4.5,29.6482176,-104.7945005
US Med-Equip · Visited link,"1850 Grandstand Dr, San Antonio, TX 78238",usme.com,(877) 677-7767,0,3.0,29.6482176,-104.7945005
Central Texas Medical Equipment & Supplies · Visited link,"8212 Georgian Dr, Austin, TX 78753",,(512) 451-9704,0,1.7,29.6482176,-104.7945005
Medirect Medical Supplies · Visited link,"2245 Texas Dr, Sugar Land, TX 77479",medirectmedicalsupplies.com,(844) 363-3278,0,4.9,29.6482176,-104.7945005
US Med-Equip · Visited link,"4920 Westway Park Blvd Ste. 225, Houston, TX 77041",usme.com,(877) 677-7767,0,5.0,29.6482176,-104.7945005
Medical Devices Texas · Visited link,"10490 Huffmeister Rd, Houston, TX 77065",,(346) 206-4333,0,2.0,29.6482176,-104.7945005
US Med-Equip · Visited link,"1515 Avenue S #200, Grand Prairie, TX 75050",usme.com,(877) 677-7767,0,1.0,29.6482176,-104.7945005
Medical Equipment Solutions · Visited link,"110 N 13th St, Beaumont, TX 77702",medequipsol.com,(409) 832-0447,0,5.0,29.6482176,-104.7945005
Specialty Medical Sales · Visited link,"1702 S State Hwy 121 #607, Lewisville, TX 75067",specialtymedical.com,(972) 434-2073,0,4.6,29.6482176,-104.7945005
"Med-Equip, Inc. · Visited link","5205 Davis Blvd Ste G, North Richland Hills, TX 76180",,(817) 479-3330,0,5.0,29.6482176,-104.7945005
Medical Devices Texas · Visited link,"10490 Huffmeister Rd, Houston, TX 77065",,(346) 206-4333,0,2.0,29.6482176,-104.7945005
American Medical Equipment · Visited link,"504 Leander Rd, Georgetown, TX 78626",amermedequip.com,(512) 863-4094,0,3.5,29.6482176,-104.7945005
Texus Medical Inc · Visited link,,,(254) 379-1382,0,0.0,46.423669,-139.1712242
Coastal Medical Supply · Visited link,"551 W League City Pkwy B, League City, TX 77573",coastalmedicaltx.com,(409) 621-1167,0,3.8,29.4910852,-104.3140604
B.T. Medical Supplies · Visited link,"502 E Goode St suite 2e, Quitman, TX 75783",btmedicalsupply.com,(903) 760-3250,0,5.0,29.4910852,-104.3140604
"ITEC Manufacturing, LLC · Visited link","339 Private Rd 8571, Winnsboro, TX 75494",itecems.com,(903) 365-6390,0,0.0,29.4910852,-104.3140604
Complete Medical Supply · Visited link,"1714 W 18th St, Houston, TX 77008",completemedicalsupply.net,(713) 880-4000,0,4.7,29.4910852,-104.3140604
Attentus Medical Sales Inc · Visited link,"5750 N Sam Houston Pkwy E, Houston, TX 77032",,(281) 776-5188,0,1.0,29.4910852,-104.3140604
